date,keyword,score,geo,attribute
2026-09-18,日系穿搭,18,TW,style:japanese
2026-09-18,極簡穿搭,0,TW,style:minimal
2026-09-18,街頭穿搭,0,TW,style:street
2026-09-18,戶外穿搭,0,TW,style:outdoor
2026-09-18,運動穿搭,12,TW,style:sporty
2026-09-18,復古穿搭,19,TW,style:retro
2026-09-18,寬鬆穿搭,0,TW,style:relaxed
2026-09-18,中性穿搭,0,TW,style:neutral
2026-09-18,女性穿搭,9,TW,style:feminine
2026-09-18,層次穿搭,0,TW,style:layered
2026-09-18,休閒穿搭,71,TW,style:casual
2026-09-18,正式穿搭,0,TW,style:formal
2026-09-18,黑色穿搭,31,TW,color:black
2026-09-18,白色穿搭,17,TW,color:white
2026-09-18,米色穿搭,5,TW,color:beige
2026-09-18,灰色穿搭,18,TW,color:gray
2026-09-18,藍色穿搭,16,TW,color:blue
2026-09-18,約會穿搭,0,TW,occasion:date
2026-09-18,通勤穿搭,0,TW,occasion:commute
2026-09-18,面試穿搭,0,TW,occasion:interview
2026-09-18,婚禮穿搭,50,TW,occasion:wedding
2026-09-18,旅行穿搭,0,TW,occasion:travel
2026-09-18,寬褲穿搭,14,TW,item:wide_pants
2026-09-18,襯衫穿搭,36,TW,item:shirt
2026-09-18,針織穿搭,7,TW,item:knitwear
2026-09-18,丹寧穿搭,0,TW,item:denim
2026-09-18,長裙穿搭,16,TW,item:long_skirt
2026-09-05,上班穿搭,22,TW,occasion:commute
2026-09-06,上班穿搭,22,TW,occasion:commute
2026-09-07,上班穿搭,14,TW,occasion:commute
2026-09-08,上班穿搭,11,TW,occasion:commute
2026-09-09,上班穿搭,14,TW,occasion:commute
2026-09-10,上班穿搭,10,TW,occasion:commute
2026-09-11,上班穿搭,10,TW,occasion:commute
2026-09-12,上班穿搭,10,TW,occasion:commute
2026-09-13,上班穿搭,15,TW,occasion:commute
2026-09-14,上班穿搭,16,TW,occasion:commute
2026-09-15,上班穿搭,10,TW,occasion:commute
2026-09-16,上班穿搭,14,TW,occasion:commute
2026-09-17,上班穿搭,11,TW,occasion:commute
2026-09-18,上班穿搭,10,TW,occasion:commute
2026-09-05,OL穿搭,0,TW,occasion:commute
2026-09-06,OL穿搭,0,TW,occasion:commute
2026-09-07,OL穿搭,0,TW,occasion:commute
2026-09-08,OL穿搭,6,TW,occasion:commute
2026-09-09,OL穿搭,0,TW,occasion:commute
2026-09-10,OL穿搭,0,TW,occasion:commute
2026-09-11,OL穿搭,0,TW,occasion:commute
2026-09-12,OL穿搭,0,TW,occasion:commute
2026-09-13,OL穿搭,0,TW,occasion:commute
2026-09-14,OL穿搭,0,TW,occasion:commute
2026-09-15,OL穿搭,0,TW,occasion:commute
2026-09-16,OL穿搭,0,TW,occasion:commute
2026-09-17,OL穿搭,6,TW,occasion:commute
2026-09-18,OL穿搭,0,TW,occasion:commute
2026-09-05,牛仔褲穿搭,39,TW,item:denim
2026-09-06,牛仔褲穿搭,39,TW,item:denim
2026-09-07,牛仔褲穿搭,24,TW,item:denim
2026-09-08,牛仔褲穿搭,28,TW,item:denim
2026-09-09,牛仔褲穿搭,24,TW,item:denim
2026-09-10,牛仔褲穿搭,32,TW,item:denim
2026-09-11,牛仔褲穿搭,28,TW,item:denim
2026-09-12,牛仔褲穿搭,47,TW,item:denim
2026-09-13,牛仔褲穿搭,35,TW,item:denim
2026-09-14,牛仔褲穿搭,22,TW,item:denim
2026-09-15,牛仔褲穿搭,28,TW,item:denim
2026-09-16,牛仔褲穿搭,23,TW,item:denim
2026-09-17,牛仔褲穿搭,30,TW,item:denim
2026-09-18,牛仔褲穿搭,36,TW,item:denim
2026-09-05,機能風穿搭,0,TW,style:outdoor
2026-09-06,機能風穿搭,0,TW,style:outdoor
2026-09-07,機能風穿搭,0,TW,style:outdoor
2026-09-08,機能風穿搭,0,TW,style:outdoor
2026-09-09,機能風穿搭,0,TW,style:outdoor
2026-09-10,機能風穿搭,0,TW,style:outdoor
2026-09-11,機能風穿搭,0,TW,style:outdoor
2026-09-12,機能風穿搭,0,TW,style:outdoor
2026-09-13,機能風穿搭,0,TW,style:outdoor
2026-09-14,機能風穿搭,0,TW,style:outdoor
2026-09-15,機能風穿搭,0,TW,style:outdoor
2026-09-16,機能風穿搭,0,TW,style:outdoor
2026-09-17,機能風穿搭,0,TW,style:outdoor
2026-09-18,機能風穿搭,0,TW,style:outdoor
2026-09-05,芭蕾風穿搭,0,TW,style:balletcore
2026-09-06,芭蕾風穿搭,0,TW,style:balletcore
2026-09-07,芭蕾風穿搭,0,TW,style:balletcore
2026-09-08,芭蕾風穿搭,0,TW,style:balletcore
2026-09-09,芭蕾風穿搭,0,TW,style:balletcore
2026-09-10,芭蕾風穿搭,0,TW,style:balletcore
2026-09-11,芭蕾風穿搭,0,TW,style:balletcore
2026-09-12,芭蕾風穿搭,0,TW,style:balletcore
2026-09-13,芭蕾風穿搭,0,TW,style:balletcore
2026-09-14,芭蕾風穿搭,0,TW,style:balletcore
2026-09-15,芭蕾風穿搭,0,TW,style:balletcore
2026-09-16,芭蕾風穿搭,0,TW,style:balletcore
2026-09-17,芭蕾風穿搭,0,TW,style:balletcore
2026-09-18,芭蕾風穿搭,0,TW,style:balletcore
